requested_instrument,min_funding_rate,max_funding_rate,avg_funding_rate,exchange_count,avg_price,total_volume_24h,total_open_interest,exchanges,funding_spread_pct
PYTH,-7.0365,1.16,-0.09464285714285714,21,0.04094447619047619,22148531.318278,24235491.865151532,"['Binance', 'LBank', 'Bybit', 'BingX', 'WhiteBIT', 'OKX', 'MEXC', 'Bitget', 'KuCoin', 'Bitunix', 'Hyperliquid', 'Kraken', 'Gate', 'CoinEx', 'HTX', 'Aster', 'Coinbase', 'Crypto.com', 'dYdX', 'Paradex', 'Lighter']",8.1965
TAO,0.07,7.2729,1.0561880000000001,23,256.88152,940597147.5149053,316707078.004767,"['MEXC', 'Binance', 'WhiteBIT', 'Bitunix', 'Bybit', 'ApeX Omni', 'OKX', 'BingX', 'Bitget', 'Hyperliquid', 'KuCoin', 'Gate', 'LBank', 'EdgeX', 'Kraken', 'CoinEx', 'Coinbase', 'Aster', 'Extended', 'MEXC', 'Lighter', 'HTX', 'Bybit', 'Paradex', 'Crypto.com']",7.2029
TRUMP,-6.5383,0.5,-0.5626190476190476,19,1.997109523809524,66587082.311717,113218337.21012901,"['Binance', 'OKX', 'WhiteBIT', 'Bybit', 'Bitget', 'Hyperliquid', 'Binance', 'Bitunix', 'Kraken', 'Gate', 'KuCoin', 'CoinEx', 'Lighter', 'HTX', 'MEXC', 'Aster', 'Coinbase', 'Extended', 'Bybit', 'Crypto.com', 'Paradex']",7.0383
AAVE,-0.63,5.7503,0.6594485714285714,24,82.50122857142857,133642854.0297705,258417160.30106914,"['Binance', 'WhiteBIT', 'BingX', 'MEXC', 'ApeX Omni', 'Bybit', 'OKX', 'BingX', 'Bitget', 'Hyperliquid', 'Bitunix', 'Bitunix', 'BingX', 'Binance', 'Gate', 'KuCoin', 'Extended', 'CoinEx', 'Binance', 'EdgeX', 'Bitunix', 'MEXC', 'Bitget', 'HTX', 'Aster', 'CoinEx', 'Coinbase', 'Lighter', 'Kraken', 'Bybit', 'Bybit', 'dYdX', 'Crypto.com', 'Bitmex', 'Paradex']",6.3803
PENDLE,-0.82,5.4546,0.6439458333333333,22,1.3583666666666667,99796725.66995001,59624737.208925,"['ApeX Omni', 'Binance', 'LBank', 'Bybit', 'BingX', 'MEXC', 'OKX', 'WhiteBIT', 'Bitget', 'KuCoin', 'Hyperliquid', 'Bitunix', 'Gate', 'Extended', 'EdgeX', 'CoinEx', 'Kraken', 'MEXC', 'Coinbase', 'Bybit', 'HTX', 'Aster', 'Crypto.com', 'Paradex']",6.2746
SEI,-5.0054,1.0,-0.290164,23,0.06763832,116641684.049211,69296054.86121601,"['Binance', 'MEXC', 'LBank', 'ApeX Omni', 'Bybit', 'WhiteBIT', 'OKX', 'Bitget', 'BingX', 'Gate', 'Hyperliquid', 'Bitunix', 'KuCoin', 'CoinEx', 'Kraken', 'Coinbase', 'MEXC', 'Extended', 'HTX', 'Bybit', 'Aster', 'Crypto.com', 'Paradex', 'Bitmex', 'Lighter']",6.0054
PENGU,-5.4914,0.5,-0.04654583333333332,20,0.008005083333333335,105140863.8722897,82422156.576387,"['Binance', 'MEXC', 'ApeX Omni', 'OKX', 'WhiteBIT', 'Bybit', 'BingX', 'Bitget', 'KuCoin', 'Bitunix', 'Binance', 'Hyperliquid', 'BingX', 'Gate', 'Extended', 'MEXC', 'CoinEx', 'Kraken', 'Coinbase', 'Aster', 'HTX', 'Bybit', 'Crypto.com', 'Paradex']",5.9914
IP,-5.0994,0.83,0.19143846153846156,22,0.4317330769230769,57488183.4547895,35849988.952748,"['ApeX Omni', 'OKX', 'BingX', 'BingX', 'Binance', 'WhiteBIT', 'KuCoin', 'Bybit', 'Bitget', 'LBank', 'Binance', 'MEXC', 'Bitunix', 'Gate', 'Hyperliquid', 'MEXC', 'CoinEx', 'Coinbase', 'HTX', 'Extended', 'Lighter', 'Bybit', 'Crypto.com', 'Kraken', 'Aster', 'Paradex']",5.9294
ASTER,-3.7867,2.05,0.28552173913043477,23,0.7378337500000001,1319828225.4737,477676832.598999,"['Aster', 'Binance', 'OKX', 'MEXC', 'Bybit', 'WhiteBIT', 'Hyperliquid', 'Bitget', 'ApeX Omni', 'EdgeX', 'BingX', 'Bitunix', 'LBank', 'Gate', 'KuCoin', 'Coinbase', 'Extended', 'CoinEx', 'Kraken', 'Bitmex', 'Bybit', 'HTX', 'Paradex', 'Lighter']",5.8367
ZRO,-2.5433,3.1201,0.46294761904761905,21,1.1497333333333333,59125242.4864637,72566636.034693,"['LBank', 'WhiteBIT', 'ApeX Omni', 'BingX', 'Binance', 'MEXC', 'Bybit', 'OKX', 'KuCoin', 'Hyperliquid', 'Bitget', 'Bitunix', 'Gate', 'Coinbase', 'CoinEx', 'Kraken', 'HTX', 'Extended', 'Crypto.com', 'Aster', 'Paradex']",5.6634
ADA,-3.472,2.19,0.5737243243243243,24,0.23681443717948716,406034356.6970844,444302279.9308671,"['Bitmex', 'Binance', 'WhiteBIT', 'Bybit', 'OKX', 'LBank', 'Gate', 'MEXC', 'Bitget', 'BingX', 'Binance', 'Bitunix', 'BingX', 'CoinEx', 'BingX', 'Hyperliquid', 'Binance', 'ApeX Omni', 'Kraken', 'Extended', 'KuCoin', 'Coinbase', 'Bybit', 'OKX', 'Bitunix', 'EdgeX', 'HTX', 'Crypto.com', 'Bitget', 'MEXC', 'MEXC', 'Bitunix', 'CoinEx', 'Aster', 'Bitmex', 'HTX', 'Lighter', 'Paradex', 'Bitmex']",5.662
LIT,-3.3,2.21,0.18751666666666666,19,1.3202863157894738,190081745.91534,242975856.959364,"['Binance', 'OKX', 'Hyperliquid', 'Bybit', 'WhiteBIT', 'Extended', 'Gate', 'Bitget', 'MEXC', 'LBank', 'KuCoin', 'CoinEx', 'Aster', 'HTX', 'ApeX Omni', 'Coinbase', 'Bitmex', 'Paradex', 'Lighter']",5.51
ENA,-2.1741,2.906,0.51124,25,0.08989093333333333,218035557.73798898,172665707.1043775,"['Binance', 'Bybit', 'MEXC', 'WhiteBIT', 'OKX', 'BingX', 'Bitget', 'ApeX Omni', 'BingX', 'Binance', 'Gate', 'LBank', 'EdgeX', 'Bitunix', 'Hyperliquid', 'KuCoin', 'Coinbase', 'Extended', 'Kraken', 'CoinEx', 'HTX', 'MEXC', 'Bybit', 'Bitunix', 'Aster', 'Crypto.com', 'Bitmex', 'Lighter', 'dYdX', 'Paradex']",5.0801
WLD,-3.4473,1.37,0.22110370370370375,22,0.3258095185185186,1418586629.0917928,267684824.652152,"['Binance', 'OKX', 'Bybit', 'MEXC', 'Bitget', 'WhiteBIT', 'Gate', 'Binance', 'BingX', 'Hyperliquid', 'ApeX Omni', 'Bitunix', 'KuCoin', 'CoinEx', 'Kraken', 'Aster', 'Coinbase', 'HTX', 'BingX', 'Bitmex', 'Bitunix', 'Bybit', 'Extended', 'Lighter', 'MEXC', 'Crypto.com', 'Paradex']",4.8173
PUMP,-1.3129,3.4187,0.32986363636363636,23,0.0022468082608695654,113249734.7408163,141834563.55022615,"['Binance', 'WhiteBIT', 'OKX', 'ApeX Omni', 'BingX', 'Hyperliquid', 'Bitget', 'LBank', 'EdgeX', 'KuCoin', 'Gate', 'Extended', 'Coinbase', 'CoinEx', 'Bitunix', 'Kraken', 'Aster', 'HTX', 'Bitmex', 'Lighter', 'Crypto.com', 'dYdX', 'Paradex']",4.7316
UNI,-1.2775,3.3401,0.4948470588235294,24,3.0263382352941175,125349633.437862,190707592.0912396,"['Binance', 'WhiteBIT', 'OKX', 'LBank', 'ApeX Omni', 'BingX', 'Bybit', 'Bitget', 'BingX', 'Bitunix', 'Gate', 'Binance', 'MEXC', 'BingX', 'Hyperliquid', 'Binance', 'EdgeX', 'KuCoin', 'Bitunix', 'CoinEx', 'Bitmex', 'Kraken', 'OKX', 'MEXC', 'Bitget', 'HTX', 'Paradex', 'Coinbase', 'Extended', 'Bybit', 'Aster', 'Crypto.com', 'Bybit', 'Lighter']",4.6176
