instrument,exchange_count,instrument_id,base_asset,quote_asset,max_leverage,funding_interval,price_tick_size
MEUSDT,6,MEUSDT,ME,USDT,50.0,1.0,0.0001
METUSDT,6,METUSDT,MET,USDT,50.0,1.0,0.0001
GALA,6,GALA-USDT,GALA,USDT,3.0,8.0,1e-06
API3USDT,6,API3USDT,API3,USDT,50.0,1.0,0.0001
MANTAUSDT,6,MANTAUSDT,MANTA,USDT,50.0,4.0,1e-05
GLMUSDT,6,GLMUSDT,GLM,USDT,50.0,4.0,1e-05
MANAUSDT,6,MANAUSDT,MANA,USDT,75.0,8.0,0.0001
GOOGLUSDT,6,GOOGLUSDT,GOOGL,USDT,20.0,8.0,0.01
GPSUSDT,6,GPSUSDT,GPS,USDT,50.0,1.0,1e-06
GIGGLEUSDT,6,GIGGLEUSDT,GIGGLE,USDT,50.0,1.0,0.01
GENIUSUSDT,6,GENIUSUSDT,GENIUS,USDT,50.0,4.0,0.0001
GRTUSDT,6,GRTUSDT,GRT,USDT,75.0,8.0,1e-05
MERL,6,MERL-USDT,MERL,USDT,3.0,4.0,1e-05
MAGMAUSDT,6,MAGMAUSDT,MAGMA,USDT,20.0,1.0,1e-05
GRIFFAINUSDT,6,GRIFFAINUSDT,GRIFFAIN,USDT,20.0,1.0,1e-06
MERLUSDT,6,MERLUSDT,MERL,USDT,50.0,1.0,1e-05
ALICEUSDT,6,ALICEUSDT,ALICE,USDT,50.0,1.0,0.0001
METISUSDT,6,METISUSDT,METIS,USDT,50.0,1.0,0.001
MORPHOUSDT,6,MORPHOUSDT,MORPHO,USDT,75.0,1.0,0.0001
FLOKI,6,FLOKI-USDT,FLOKI,USDT,200.0,8.0,1e-08
AMZNUSDT,6,AMZNUSDT,AMZN,USDT,20.0,8.0,0.01
MOVRUSDT,6,MOVRUSDT,MOVR,USDT,50.0,1.0,0.001
KNCUSDT,6,KNCUSDT,KNC,USDT,50.0,1.0,0.0001
NIL,6,NIL-USDT,NIL,USDT,3.0,4.0,1e-05
EWYUSDT,6,EWYUSDT,EWY,USDT,20.0,8.0,0.01
NILUSDT,6,NILUSDT,NIL,USDT,50.0,1.0,1e-05
KMNOUSDT,6,KMNOUSDT,KMNO,USDT,50.0,4.0,1e-05
KMNO,6,KMNO-USDT,KMNO,USDT,125.0,4.0,1e-05
NVDAUSDT,6,NVDAUSDT,NVDA,USDT,20.0,8.0,0.01
KGENUSDT,6,KGENUSDT,KGEN,USDT,50.0,1.0,1e-05
NXPCUSDT,6,NXPCUSDT,NXPC,USDT,50.0,1.0,0.0001
KAVAUSDT,6,KAVAUSDT,KAVA,USDT,50.0,4.0,0.0001
EULUSDT,6,EULUSDT,EUL,USDT,50.0,1.0,0.0001
ONTUSDT,6,ONTUSDT,ONT,USDT,75.0,1.0,0.0001
KAT,6,KAT-USDT,KAT,USDT,20.0,4.0,1e-05
OPENUSDT,6,OPENUSDT,OPEN,USDT,75.0,4.0,0.0001
KAIAUSDT,6,KAIAUSDT,KAIA,USDT,75.0,4.0,1e-05
KSMUSDT,6,KSMUSDT,KSM,USDT,50.0,8.0,0.001
APRUSDT,6,APRUSDT,APR,USDT,50.0,1.0,1e-05
FET,6,FET-USDT,FET,USDT,5.0,8.0,0.0001
FILUSD,6,FILUSD_PERP,FIL,USD,20.0,8.0,0.001
MRVLUSDT,6,MRVLUSDT,MRVL,USDT,20.0,8.0,0.01
LAYERUSDT,6,LAYERUSDT,LAYER,USDT,50.0,1.0,0.0001
LAYER,6,LAYER-USDT,LAYER,USDT,3.0,4.0,1e-05
MSFTUSDT,6,MSFTUSDT,MSFT,USDT,20.0,8.0,0.01
LAUSDT,6,LAUSDT,LA,USDT,50.0,1.0,0.0001
MSTRUSDT,6,MSTRUSDT,MSTR,USDT,20.0,8.0,0.01
MUBARAKUSDT,6,MUBARAKUSDT,MUBARAK,USDT,25.0,1.0,1e-05
FETUSDT,6,FETUSDT,FET,USDT,75.0,1.0,0.0001
NAORISUSDT,6,NAORISUSDT,NAORIS,USDT,10.0,1.0,1e-05
LABUSDT,6,LABUSDT,LAB,USDT,10.0,1.0,1e-05
FIDAUSDT,6,FIDAUSDT,FIDA,USDT,25.0,1.0,1e-05
NBISUSDT,6,NBISUSDT,NBIS,USDT,20.0,8.0,0.01
NEO,6,NEO-USDT,NEO,USDT,5.0,8.0,0.001
NEOUSDT,6,NEOUSDT,NEO,USDT,75.0,8.0,0.001
MEW,6,MEW-USDT,MEW,USDT,3.0,4.0,1e-06
IDUSDT,6,IDUSDT,ID,USDT,50.0,1.0,1e-05
RPLUSDT,6,RPLUSDT,RPL,USDT,50.0,1.0,0.001
XAIUSDT,6,XAIUSDT,XAI,USDT,50.0,1.0,1e-05
AAVEUSD,6,AAVEUSD_PERP,AAVE,USD,20.0,8.0,0.01
CATI,6,CATI-USDT,CATI,USDT,3.0,4.0,1e-05
CBRSUSDT,6,CBRSUSDT,CBRS,USDT,20.0,8.0,0.01
CC,6,CC-USDT,CC,USDT,5.0,4.0,1e-05
TACUSDT,6,TACUSDT,TAC,USDT,10.0,1.0,1e-06
BEUSDT,6,BEUSDT,BE,USDT,20.0,8.0,0.01
WOOUSDT,6,WOOUSDT,WOO,USDT,50.0,8.0,1e-05
WUSDT,6,WUSDT,W,USDT,75.0,4.0,1e-05
XAGUSDT,6,XAGUSDT,XAG,USDT,100.0,4.0,0.01
SUSHIUSDT,6,SUSHIUSDT,SUSHI,USDT,75.0,8.0,0.0001
BEATUSDT,6,BEATUSDT,BEAT,USDT,10.0,1.0,0.0001
CFGUSDT,6,CFGUSDT,CFG,USDT,50.0,1.0,0.0001
SUPERUSDT,6,SUPERUSDT,SUPER,USDT,75.0,4.0,0.0001
SUPER,6,SUPER-USDT,SUPER,USDT,3.0,4.0,0.0001
XAUT,6,XAUT-USDT,XAUT,USDT,1000.0,4.0,0.01
ACUUSDT,6,ACUUSDT,ACU,USDT,10.0,1.0,1e-05
CHILLGUYUSDT,6,CHILLGUYUSDT,CHILLGUY,USDT,10.0,1.0,1e-06
ACTUSDT,6,ACTUSDT,ACT,USDT,50.0,1.0,1e-05
STOUSDT,6,STOUSDT,STO,USDT,25.0,1.0,1e-05
CHZ,6,CHZ-USDT,CHZ,USDT,200.0,8.0,1e-05
CKBUSDT,6,CKBUSDT,CKB,USDT,50.0,8.0,1e-06
BBUSDT,6,BBUSDT,BB,USDT,50.0,1.0,1e-05
CLANKERUSDT,6,CLANKERUSDT,CLANKER,USDT,25.0,1.0,0.01
BB,6,BB-USDT,BB,USDT,100.0,4.0,1e-05
XMRUSDT,6,XMRUSDT,XMR,USDT,75.0,1.0,0.01
STABLE,6,STABLE-USDT,STABLE,USDT,3.0,4.0,1e-06
CLUSDT,6,CLUSDT,CL,USDT,100.0,4.0,0.01
SSVUSDT,6,SSVUSDT,SSV,USDT,50.0,8.0,0.001
COAIUSDT,6,COAIUSDT,COAI,USDT,10.0,1.0,0.0001
SQDUSDT,6,SQDUSDT,SQD,USDT,50.0,1.0,1e-05
BIGTIME,6,BIGTIME-USDT,BIGTIME,USDT,3.0,4.0,1e-05
BIGTIMEUSDT,6,BIGTIMEUSDT,BIGTIME,USDT,50.0,4.0,1e-05
WETUSDT,6,WETUSDT,WET,USDT,50.0,1.0,1e-05
BILLUSDT,6,BILLUSDT,BILL,USDT,20.0,1.0,1e-05
ATHUSDT,6,ATHUSDT,ATH,USDT,50.0,4.0,1e-06
USUAL,6,USUAL-USDT,USUAL,USDT,3.0,4.0,1e-05
USTCUSDT,6,USTCUSDT,USTC,USDT,50.0,4.0,1e-06
VELVETUSDT,6,VELVETUSDT,VELVET,USDT,50.0,1.0,1e-05
BRETT,6,BRETT-USDT,BRETT,USDT,3.0,4.0,1e-05
BRETTUSDT,6,BRETTUSDT,BRETT,USDT,75.0,4.0,1e-06
UMAUSDT,6,UMAUSDT,UMA,USDT,50.0,1.0,0.0001
UMA,6,UMA-USDT,UMA,USDT,3.0,4.0,0.0001
UBUSDT,6,UBUSDT,UB,USDT,50.0,4.0,1e-05
VETUSDT,6,VETUSDT,VET,USDT,75.0,8.0,1e-06
UAIUSDT,6,UAIUSDT,UAI,USDT,50.0,1.0,0.0001
1INCHUSDT,6,1INCHUSDT,1INCH,USDT,75.0,8.0,0.0001
1INCH,6,1INCH-USDT,1INCH,USDT,200.0,8.0,0.0001
BRUSDT,6,BRUSDT,BR,USDT,25.0,1.0,1e-05
BLESSUSDT,6,BLESSUSDT,BLESS,USDT,40.0,4.0,1e-06
TURBOUSDT,6,TURBOUSDT,TURBO,USDT,75.0,1.0,1e-07
ATH,6,ATH-USDT,ATH,USDT,50.0,4.0,1e-05
TSLAUSDT,6,TSLAUSDT,TSLA,USDT,20.0,8.0,0.01
WCT,6,WCT-USDT,WCT,USDT,3.0,4.0,1e-05
TRUMPUSDT,6,TRUMPUSDT,TRUMP,USDT,75.0,4.0,0.001
TRIAUSDT,6,TRIAUSDT,TRIA,USDT,50.0,1.0,1e-05
TRIA,6,TRIA-USDT,TRIA,USDT,50.0,4.0,1e-05
TREEUSDT,6,TREEUSDT,TREE,USDT,25.0,4.0,1e-05
CYSUSDT,6,CYSUSDT,CYS,USDT,20.0,1.0,0.0001
TOWNSUSDT,6,TOWNSUSDT,TOWNS,USDT,10.0,4.0,1e-06
WCTUSDT,6,WCTUSDT,WCT,USDT,50.0,4.0,1e-05
BIRBUSDT,6,BIRBUSDT,BIRB,USDT,50.0,1.0,1e-05
AAPLUSDT,6,AAPLUSDT,AAPL,USDT,20.0,8.0,0.01
BIOUSDT,6,BIOUSDT,BIO,USDT,50.0,1.0,1e-05
SPYUSDT,6,SPYUSDT,SPY,USDT,20.0,8.0,0.01
AUSDT,6,AUSDT,A,USDT,75.0,4.0,1e-05
COINUSDT,6,COINUSDT,COIN,USDT,20.0,8.0,0.01
SLPUSDT,6,SLPUSDT,SLP,USDT,50.0,4.0,1e-07
SENT,6,SENT-USDT,SENT,USDT,20.0,4.0,1e-05
SENTUSDT,6,SENTUSDT,SENT,USDT,75.0,1.0,1e-05
SHELLUSDT,6,SHELLUSDT,SHELL,USDT,10.0,1.0,1e-05
B2USDT,6,B2USDT,B2,USDT,50.0,1.0,0.0001
SHIB,6,SHIB-USDT,SHIB,USDT,300.0,8.0,1e-09
ZBTUSDT,6,ZBTUSDT,ZBT,USDT,50.0,1.0,1e-05
SIRENUSDT,6,SIRENUSDT,SIREN,USDT,25.0,1.0,0.0001
SKLUSDT,6,SKLUSDT,SKL,USDT,50.0,4.0,1e-05
CRO,6,CRO-USDT,CRO,USDT,200.0,8.0,1e-05
ZAMAUSDT,6,ZAMAUSDT,ZAMA,USDT,50.0,1.0,1e-05
BABAUSDT,6,BABAUSDT,BABA,USDT,20.0,8.0,0.01
SPKUSDT,6,SPKUSDT,SPK,USDT,50.0,4.0,1e-05
SKRUSDT,6,SKRUSDT,SKR,USDT,20.0,1.0,1e-06
BABY,6,BABY-USDT,BABY,USDT,3.0,4.0,1e-05
CRCLUSDT,6,CRCLUSDT,CRCL,USDT,20.0,8.0,0.01
CRWVUSDT,6,CRWVUSDT,CRWV,USDT,20.0,8.0,0.01
AZTECUSDT,6,AZTECUSDT,AZTEC,USDT,25.0,1.0,1e-05
ZETA,6,ZETA-USDT,ZETA,USDT,3.0,4.0,1e-05
RUNEUSDT,6,RUNEUSDT,RUNE,USDT,75.0,8.0,0.0001
RSR,6,RSR-USDT,RSR,USDT,3.0,8.0,1e-06
AVAXUSD,6,AVAXUSD_PERP,AVAX,USD,20.0,8.0,0.01
ZRXUSDT,6,ZRXUSDT,ZRX,USDT,75.0,4.0,0.0001
CYBERUSDT,6,CYBERUSDT,CYBER,USDT,50.0,1.0,0.0001
RSRUSDT,6,RSRUSDT,RSR,USDT,75.0,8.0,1e-06
CVXUSDT,6,CVXUSDT,CVX,USDT,75.0,4.0,0.001
RVNUSDT,6,RVNUSDT,RVN,USDT,75.0,4.0,1e-05
SAPIENUSDT,6,SAPIENUSDT,SAPIEN,USDT,50.0,4.0,1e-05
CUSDT,6,CUSDT,C,USDT,50.0,4.0,1e-05
AVGOUSDT,6,AVGOUSDT,AVGO,USDT,20.0,8.0,0.01
ZKPUSDT,6,ZKPUSDT,ZKP,USDT,40.0,1.0,1e-05
ZKCUSDT,6,ZKCUSDT,ZKC,USDT,50.0,4.0,1e-05
ZETAUSDT,6,ZETAUSDT,ZETA,USDT,50.0,4.0,1e-05
AXLUSDT,6,AXLUSDT,AXL,USDT,75.0,1.0,1e-05
COWUSDT,6,COWUSDT,COW,USDT,75.0,1.0,0.0001
USUSDT,6,USUSDT,US,USDT,10.0,1.0,1e-06
YGGUSDT,6,YGGUSDT,YGG,USDT,50.0,1.0,1e-05
BANANAS31USDT,6,BANANAS31USDT,BANANAS31,USDT,25.0,1.0,1e-06
SOPH,6,SOPH-USDT,SOPH,USDT,3.0,4.0,1e-06
BANKUSDT,6,BANKUSDT,BANK,USDT,50.0,1.0,1e-05
SOXLUSDT,6,SOXLUSDT,SOXL,USDT,20.0,8.0,0.01
COMPUSDT,6,COMPUSDT,COMP,USDT,75.0,8.0,0.01
XTZUSDT,6,XTZUSDT,XTZ,USDT,75.0,4.0,0.0001
BARDUSDT,6,BARDUSDT,BARD,USDT,25.0,1.0,0.0001
YBUSDT,6,YBUSDT,YB,USDT,20.0,1.0,0.0001
SPCXUSDT,6,SPCXUSDT,SPCX,USDT,20.0,8.0,0.01
1000BONKUSDT,6,1000BONKUSDT,1000BONK,USDT,25.0,1.0,1e-06
SNDKUSDT,6,SNDKUSDT,SNDK,USDT,25.0,8.0,0.01
XPINUSDT,6,XPINUSDT,XPIN,USDT,50.0,4.0,1e-06
BASEDUSDT,6,BASEDUSDT,BASED,USDT,50.0,1.0,1e-05
AMDUSDT,5,AMDUSDT,AMD,USDT,20.0,8.0,0.01
1000LUNCUSDT,5,1000LUNCUSDT,1000LUNC,USDT,75.0,1.0,1e-05
ZEREBROUSDT,5,ZEREBROUSDT,ZEREBRO,USDT,10.0,1.0,1e-06
MASK,5,MASK-USDT,MASK,USDT,50.0,4.0,0.0001
XNYUSDT,5,XNYUSDT,XNY,USDT,10.0,4.0,1e-06
MASKUSDT,5,MASKUSDT,MASK,USDT,50.0,4.0,0.0001
XPDUSDT,5,XPDUSDT,XPD,USDT,100.0,4.0,0.01
XPTUSDT,5,XPTUSDT,XPT,USDT,100.0,4.0,0.01
MAVUSDT,5,MAVUSDT,MAV,USDT,50.0,8.0,1e-05
MEMEUSDT,5,MEMEUSDT,MEME,USDT,50.0,4.0,1e-07
VET,5,VET-USDT,VET,USDT,125.0,8.0,1e-06
KERNEL,5,KERNEL-USDT,KERNEL,USDT,20.0,4.0,1e-05
VINE,5,VINE-USDT,VINE,USDT,3.0,4.0,1e-05
VANRYUSDT,5,VANRYUSDT,VANRY,USDT,25.0,4.0,1e-06
VELODROMEUSDT,5,VELODROMEUSDT,VELODROME,USDT,50.0,4.0,1e-05
WALUSDT,5,WALUSDT,WAL,USDT,75.0,4.0,1e-05
XPT,5,XPT-USD,XPT,USD,5.0,1.0,0.1
1000BONK,5,1000BONK-USDT,1000BONK,USDT,25.0,4.0,1e-06
MANTRAUSDT,5,MANTRAUSDT,MANTRA,USDT,50.0,1.0,1e-05
XVSUSDT,5,XVSUSDT,XVS,USDT,50.0,8.0,0.001
ZAMA,5,ZAMA-USDT,ZAMA,USDT,50.0,4.0,0.0001
WOO,5,WOO-USDT,WOO,USDT,200.0,8.0,1e-05
WMTUSDT,5,WMTUSDT,WMT,USDT,20.0,8.0,0.01
XAG,5,XAG-USD,XAG,USD,10.0,1.0,0.001
M,5,M-USDT,M,USDT,50.0,4.0,0.0001
MAGICUSDT,5,MAGICUSDT,MAGIC,USDT,50.0,4.0,1e-05
YFI,5,YFI-USDT,YFI,USDT,75.0,8.0,1.0
JASMY,5,JASMY-USDT,JASMY,USDT,200.0,8.0,1e-06
ALTUSDT,5,ALTUSDT,ALT,USDT,50.0,4.0,1e-06
ZBT,5,ZBT-USDT,ZBT,USDT,100.0,4.0,1e-05
WDCUSDT,5,WDCUSDT,WDC,USDT,20.0,8.0,0.01
YGG,5,YGG-USDT,YGG,USDT,3.0,4.0,1e-05
MANA,5,MANA-USDT,MANA,USDT,200.0,8.0,0.0001
AMD,5,AMD-PERP,AMD,USDC,10.0,1.0,0.01
XAN,5,XAN-USDT,XAN,USDT,50.0,4.0,1e-06
XANUSDT,5,XANUSDT,XAN,USDT,50.0,1.0,1e-06
XAU,5,XAU-USD,XAU,USD,25.0,1.0,0.1
JELLYJELLYUSDT,5,JELLYJELLYUSDT,JELLYJELLY,USDT,25.0,1.0,1e-05
XAUUSDT,5,XAUUSDT,XAU,USDT,100.0,4.0,0.01
XLMUSD,5,XLMUSD_PERP,XLM,USD,20.0,8.0,1e-05
IOSTUSDT,5,IOSTUSDT,IOST,USDT,50.0,8.0,1e-06
MANTA,5,MANTA-USDT,MANTA,USDT,3.0,4.0,1e-05
1000PEPEUSDT,5,1000PEPEUSDT,1000PEPE,USDT,25.0,1.0,1e-07
MSFT,5,MSFT-PERP,MSFT,USDC,10.0,1.0,0.01
USUALUSDT,5,USUALUSDT,USUAL,USDT,50.0,4.0,1e-05
PROMPT,5,PROMPT-USDT,PROMPT,USDT,3.0,4.0,1e-05
ACXUSDT,5,ACXUSDT,ACX,USDT,50.0,1.0,1e-05
PORTALUSDT,5,PORTALUSDT,PORTAL,USDT,10.0,1.0,1e-05
POLYXUSDT,5,POLYXUSDT,POLYX,USDT,50.0,1.0,1e-05
SOLVUSDT,5,SOLVUSDT,SOLV,USDT,20.0,1.0,1e-06
SOMI,5,SOMI-USDT,SOMI,USDT,50.0,4.0,0.0001
SONICUSDT,5,SONICUSDT,SONIC,USDT,10.0,4.0,1e-05
SOPHUSDT,5,SOPHUSDT,SOPH,USDT,50.0,4.0,1e-06
PIXEL,5,PIXEL-USDT,PIXEL,USDT,3.0,4.0,1e-06
SPACEUSDT,5,SPACEUSDT,SPACE,USDT,50.0,1.0,1e-06
PIPPIN,5,PIPPIN-USDT,PIPPIN,USDT,50.0,4.0,1e-05
PIEVERSE,5,PIEVERSE-USDT,PIEVERSE,USDT,5.0,4.0,0.0001
PHAUSDT,5,PHAUSDT,PHA,USDT,50.0,1.0,1e-05
PEPE,5,PEPE_USDT,PEPE,USDT,300.0,8.0,1e-09
SPK,5,SPK-USDT,SPK,USDT,50.0,4.0,1e-05
SSV,5,SSV-USDT,SSV,USDT,50.0,8.0,0.001
ORDERUSDT,5,ORDERUSDT,ORDER,USDT,50.0,4.0,1e-05
STBL,5,STBL-USDT,STBL,USDT,3.0,4.0,1e-05
ORCA,5,ORCA-USDT,ORCA,USDT,20.0,4.0,0.001
STEEMUSDT,5,STEEMUSDT,STEEM,USDT,50.0,1.0,1e-05
PRL,5,PRL-USDT,PRL,USDT,20.0,4.0,0.0001
SNDK,5,SNDK-PERP,SNDK,USDC,10.0,1.0,0.01
STGUSDT,5,STGUSDT,STG,USDT,50.0,1.0,0.0001
PROMPTUSDT,5,PROMPTUSDT,PROMPT,USDT,40.0,1.0,1e-05
RIVER,5,RIVER-USDT,RIVER,USDT,50.0,4.0,0.001
ILVUSDT,5,ILVUSDT,ILV,USDT,50.0,4.0,0.001
SAGAUSDT,5,SAGAUSDT,SAGA,USDT,20.0,1.0,1e-05
RED,5,RED-PERP,RED,USDC,20.0,1.0,1e-05
RECALLUSDT,5,RECALLUSDT,RECALL,USDT,40.0,1.0,1e-05
SAHARA,5,SAHARA-USDT,SAHARA,USDT,20.0,4.0,1e-05
RAY,5,RAY-USDT,RAY,USDT,100.0,8.0,0.0001
RAREUSDT,5,RAREUSDT,RARE,USDT,50.0,4.0,1e-05
RARE,5,RARE-USDT,RARE,USDT,100.0,4.0,1e-05
QUSDT,5,QUSDT,Q,USDT,20.0,4.0,1e-06
QTUMUSDT,5,QTUMUSDT,QTUM,USDT,75.0,8.0,0.001
SCR,5,SCR-PERP,SCR,USDC,3.0,1.0,0.0001
QNT,5,QNT-USDT,QNT,USDT,200.0,8.0,0.01
QCOMUSDT,5,QCOMUSDT,QCOM,USDT,20.0,8.0,0.01
PUNDIXUSDT,5,PUNDIXUSDT,PUNDIX,USDT,50.0,4.0,0.0001
PTBUSDT,5,PTBUSDT,PTB,USDT,20.0,1.0,1e-07
SKR,5,SKR-USDT,SKR,USDT,3.0,4.0,1e-06
PROMUSDT,5,PROMUSDT,PROM,USDT,50.0,1.0,0.001
SKYAIUSDT,5,SKYAIUSDT,SKYAI,USDT,10.0,1.0,1e-05
STG,5,STG-USDT,STG,USDT,3.0,8.0,0.0001
ACHUSDT,5,ACHUSDT,ACH,USDT,50.0,8.0,1e-06
METAUSDT,5,METAUSDT,META,USDT,20.0,8.0,0.01
MYX,5,MYX-USDT,MYX,USDT,50.0,4.0,1e-05
TNSRUSDT,5,TNSRUSDT,TNSR,USDT,50.0,1.0,1e-05
TOSHIUSDT,5,TOSHIUSDT,TOSHI,USDT,75.0,4.0,1e-07
MU,5,MU-PERP,MU,USDC,10.0,1.0,0.01
TOWNS,5,TOWNS-USDT,TOWNS,USDT,100.0,4.0,1e-06
TRUSTUSDT,5,TRUSTUSDT,TRUST,USDT,50.0,1.0,1e-05
TRUTHUSDT,5,TRUTHUSDT,TRUTH,USDT,20.0,1.0,1e-06
A,5,A-USDT,A,USDT,100.0,4.0,1e-05
TSM,5,TSM-PERP,TSM,USDC,10.0,1.0,0.01
TSMUSDT,5,TSMUSDT,TSM,USDT,20.0,8.0,0.01
MOCAUSDT,5,MOCAUSDT,MOCA,USDT,50.0,4.0,1e-05
TURTLEUSDT,5,TURTLEUSDT,TURTLE,USDT,20.0,1.0,1e-05
MNTUSDT,5,MNTUSDT,MNT,USDT,50.0,1.0,0.0001
TUSDT,5,TUSDT,T,USDT,50.0,4.0,1e-06
TUTUSDT,5,TUTUSDT,TUT,USDT,10.0,4.0,1e-05
MITOUSDT,5,MITOUSDT,MITO,USDT,10.0,4.0,1e-05
MIRAUSDT,5,MIRAUSDT,MIRA,USDT,50.0,4.0,1e-05
UNIUSD,5,UNIUSD_PERP,UNI,USD,20.0,8.0,0.001
USARUSDT,5,USARUSDT,USAR,USDT,20.0,8.0,0.01
USELESS,5,USELESS-USDT,USELESS,USDT,50.0,4.0,1e-05
MUUSDT,5,MUUSDT,MU,USDT,25.0,8.0,0.01
THEUSDT,5,THEUSDT,THE,USDT,50.0,4.0,0.0001
OPENAIUSDT,5,OPENAIUSDT,OPENAI,USDT,20.0,8.0,0.01
THETA,5,THETA-USDT,THETA,USDT,100.0,8.0,0.0001
AIXBTUSDT,5,AIXBTUSDT,AIXBT,USDT,50.0,4.0,1e-05
SUN,5,SUN-USDT,SUN,USDT,125.0,4.0,1e-06
ONEUSDT,5,ONEUSDT,ONE,USDT,50.0,8.0,1e-06
AKEUSDT,5,AKEUSDT,AKE,USDT,10.0,1.0,1e-07
OKBUSDT,5,OKBUSDT,OKB,USDT,25.0,1.0,0.01
OGNUSDT,5,OGNUSDT,OGN,USDT,50.0,1.0,0.0001
NXPC,5,NXPC-USDT,NXPC,USDT,3.0,4.0,1e-05
ACEUSDT,5,ACEUSDT,ACE,USDT,20.0,4.0,0.0001
NOMUSDT,5,NOMUSDT,NOM,USDT,20.0,1.0,1e-06
NMR,5,NMR-USDT,NMR,USDT,50.0,4.0,0.001
SWARMSUSDT,5,SWARMSUSDT,SWARMS,USDT,20.0,1.0,1e-06
SXTUSDT,5,SXTUSDT,SXT,USDT,25.0,4.0,1e-05
ACE,5,ACE-USDT,ACE,USDT,3.0,4.0,0.0001
NIGHT,5,NIGHT-USDT,NIGHT,USDT,100.0,4.0,1e-05
NEWTUSDT,5,NEWTUSDT,NEWT,USDT,25.0,4.0,1e-05
TAGUSDT,5,TAGUSDT,TAG,USDT,50.0,4.0,1e-07
TAIKOUSDT,5,TAIKOUSDT,TAIKO,USDT,50.0,4.0,0.0001
NEARUSD,5,NEARUSD_PERP,NEAR,USD,20.0,8.0,0.001
TAUSDT,5,TAUSDT,TA,USDT,10.0,1.0,1e-05
REZUSDT,5,REZUSDT,REZ,USDT,50.0,4.0,1e-06
AVAUSDT,5,AVAUSDT,AVA,USDT,50.0,4.0,0.0001
C98USDT,5,C98USDT,C98,USDT,50.0,8.0,1e-05
BZUSDT,5,BZUSDT,BZ,USDT,100.0,4.0,0.01
GMXUSDT,5,GMXUSDT,GMX,USDT,50.0,8.0,0.001
CBRS,5,CBRS-PERP,CBRS,USDC,10.0,1.0,0.01
CATIUSDT,5,CATIUSDT,CATI,USDT,50.0,4.0,1e-05
ARK,5,ARK-USDT,ARK,USDT,3.0,4.0,0.0001
CARVUSDT,5,CARVUSDT,CARV,USDT,50.0,4.0,1e-05
BMTUSDT,5,BMTUSDT,BMT,USDT,25.0,1.0,1e-05
FF,5,FF-USDT,FF,USDT,50.0,4.0,1e-05
BATUSDT,5,BATUSDT,BAT,USDT,50.0,8.0,0.0001
EGLD,5,EGLD-USDT,EGLD,USDT,125.0,8.0,0.001
CROSSUSDT,5,CROSSUSDT,CROSS,USDT,40.0,4.0,1e-05
ASTR,5,ASTR-USDT,ASTR,USDT,125.0,8.0,1e-06
CROUSDT,5,CROUSDT_UMCBL,CRO,USDT,25.0,8.0,1e-05
ASTRUSDT,5,ASTRUSDT,ASTR,USDT,50.0,8.0,1e-06
HEMIUSDT,5,HEMIUSDT,HEMI,USDT,20.0,4.0,1e-06
FHEUSDT,5,FHEUSDT,FHE,USDT,10.0,1.0,1e-05
BASUSDT,5,BASUSDT,BAS,USDT,10.0,4.0,1e-06
CFG,5,CFG-USDT,CFG,USDT,20.0,4.0,0.0001
GIGGLE,5,GIGGLE-USDT,GIGGLE,USDT,50.0,4.0,0.01
HIGHUSDT,5,HIGHUSDT,HIGH,USDT,20.0,1.0,0.0001
BASED,5,BASED-USDT,BASED,USDT,50.0,4.0,1e-05
BARD,5,BARD-USDT,BARD,USDT,50.0,4.0,0.0001
BLUAIUSDT,5,BLUAIUSDT,BLUAI,USDT,10.0,1.0,1e-06
ENJ,5,ENJ-USDT,ENJ,USDT,75.0,4.0,1e-05
ARCUSDT,5,ARCUSDT,ARC,USDT,20.0,1.0,1e-05
COHRUSDT,5,COHRUSDT,COHR,USDT,20.0,8.0,0.01
CETUSUSDT,5,CETUSUSDT,CETUS,USDT,50.0,4.0,1e-05
CGPTUSDT,5,CGPTUSDT,CGPT,USDT,50.0,4.0,1e-05
BILL,5,BILL-USDT,BILL,USDT,50.0,4.0,1e-05
CHRUSDT,5,CHRUSDT,CHR,USDT,50.0,8.0,1e-05
GWEIUSDT,5,GWEIUSDT,GWEI,USDT,50.0,1.0,1e-05
ASRUSDT,5,ASRUSDT,ASR,USDT,10.0,4.0,0.001
ATUSDT,5,ATUSDT,AT,USDT,50.0,1.0,1e-05
CELOUSDT,5,CELOUSDT,CELO,USDT,50.0,8.0,1e-05
CELO,5,CELO-USDT,CELO,USDT,3.0,8.0,0.0001
EVAAUSDT,5,EVAAUSDT,EVAA,USDT,10.0,1.0,0.0001
CCUSDT,5,CCUSDT,CC,USDT,75.0,1.0,1e-05
ESP,5,ESP-USDT,ESP,USDT,20.0,4.0,1e-05
ERAUSDT,5,ERAUSDT,ERA,USDT,25.0,4.0,0.0001
ERA,5,ERA-USDT,ERA,USDT,20.0,4.0,0.0001
FLUXUSDT,5,FLUXUSDT,FLUX,USDT,50.0,1.0,1e-05
EPICUSDT,5,EPICUSDT,EPIC,USDT,20.0,4.0,0.0001
EWJUSDT,5,EWJUSDT,EWJ,USDT,20.0,8.0,0.01
HAEDALUSDT,5,HAEDALUSDT,HAEDAL,USDT,10.0,4.0,1e-05
EWY,5,EWY_USDT,EWY,USDT,20.0,8.0,0.01
