instrument,exchange_count,instrument_id,base_asset,quote_asset,max_leverage,funding_interval,price_tick_size
HBAR,9,HBAR-USDT,HBAR,USDT,5.0,8.0,1e-05
GRASS,9,GRASS-USDT,GRASS,USDT,10.0,4.0,0.0001
FILUSDT,9,FILUSDT,FIL,USDT,50.0,1.0,0.001
FIL,9,FIL-USDT,FIL,USDT,5.0,8.0,0.001
LTCUSDT,9,LTCUSDT,LTC,USDT,50.0,1.0,0.01
WLFIUSDT,9,WLFIUSDT,WLFI,USDT,50.0,1.0,0.0001
WIFUSDT,9,WIFUSDT,WIF,USDT,25.0,1.0,0.0001
ETHUSDT,9,ETHUSDT,ETH,USDT,100.0,1.0,0.01
CRVUSDT,9,CRVUSDT,CRV,USDT,50.0,1.0,0.0001
AXS,9,AXS-USDT,AXS,USDT,5.0,4.0,0.001
BCHUSDT,9,BCHUSDT,BCH,USDT,50.0,1.0,0.01
BERA,9,BERA-USDT,BERA,USDT,5.0,4.0,0.0001
ZORA,9,ZORA-USDT,ZORA,USDT,5.0,4.0,1e-05
BNBUSDT,9,BNBUSDT,BNB,USDT,50.0,1.0,0.01
CAKE,9,CAKE-USDT,CAKE,USDT,10.0,4.0,0.0001
ASTERUSDT,9,ASTERUSDT,ASTER,USDT,50.0,1.0,0.0001
CHIP,9,CHIP-USDT,CHIP,USDT,5.0,4.0,1e-05
XRPUSDT,9,XRPUSDT,XRP,USDT,50.0,1.0,0.0001
MONUSDT,9,MONUSDT,MON,USDT,50.0,1.0,1e-05
DOGEUSDT,9,DOGEUSDT,DOGE,USDT,25.0,1.0,0.0001
DYDX,9,DYDX-USDT,DYDX,USDT,5.0,8.0,1e-05
EIGEN,9,EIGEN-USDT,EIGEN,USDT,10.0,4.0,0.0001
ENAUSDT,9,ENAUSDT,ENA,USDT,50.0,1.0,0.0001
ARBUSDT,9,ARBUSDT,ARB,USDT,50.0,1.0,0.0001
XMR,9,XMR-USDT,XMR,USDT,25.0,8.0,0.01
ETHFI,9,ETHFI-USDT,ETHFI,USDT,5.0,4.0,0.0001
ETHUSD,9,ETHUSD_PERP,ETH,USD,100.0,8.0,0.01
MEGA,9,MEGA-USDT,MEGA,USDT,5.0,4.0,1e-05
AVAXUSDT,9,AVAXUSDT,AVAX,USDT,50.0,1.0,0.001
UNIUSDT,9,UNIUSDT,UNI,USDT,50.0,1.0,0.001
2Z,9,2Z-USDT,2Z,USDT,3.0,4.0,1e-05
OPUSDT,9,OPUSDT,OP,USDT,50.0,1.0,0.0001
TONUSDT,9,TONUSDT,TON,USDT,50.0,1.0,0.0001
SOLUSDT,9,SOLUSDT,SOL,USDT,50.0,1.0,0.01
POLUSDT,9,POLUSDT,POL,USDT,50.0,1.0,0.0001
SPX,9,SPX-USDT,SPX,USDT,10.0,4.0,0.0001
TRX,9,TRX-USDT,TRX,USDT,25.0,8.0,1e-05
SEIUSDT,9,SEIUSDT,SEI,USDT,50.0,1.0,0.0001
NEARUSDT,9,NEARUSDT,NEAR,USDT,50.0,1.0,0.001
STRK,9,STRK-USDT,STRK,USDT,10.0,4.0,1e-05
VIRTUAL,9,VIRTUAL-USDT,VIRTUAL,USDT,10.0,4.0,0.0001
AAVEUSDT,9,AAVEUSDT,AAVE,USDT,50.0,1.0,0.01
SUIUSDT,9,SUIUSDT,SUI,USDT,50.0,1.0,0.0001
S,9,S-USDT,S,USDT,10.0,4.0,1e-05
ADAUSDT,9,ADAUSDT,ADA,USDT,50.0,1.0,0.0001
SNX,8,SNX-USDT,SNX,USDT,10.0,8.0,0.0001
DASH,8,DASH-USDT,DASH,USDT,5.0,8.0,0.01
SKY,8,SKY-USDT,SKY,USDT,3.0,4.0,1e-05
XRPUSD,8,XRPUSD_PERP,XRP,USD,50.0,8.0,0.0001
DOTUSDT,8,DOTUSDT,DOT,USDT,75.0,8.0,0.001
ZECUSDT,8,ZECUSDT,ZEC,USDT,50.0,1.0,0.01
DYM,8,DYM-USDT,DYM,USDT,3.0,4.0,1e-05
EIGENUSDT,8,EIGENUSDT,EIGEN,USDT,50.0,1.0,0.0001
XPLUSDT,8,XPLUSDT,XPL,USDT,50.0,1.0,0.0001
SOLUSD,8,SOLUSD_PERP,SOL,USD,50.0,8.0,0.01
MOODENG,8,MOODENG-USDT,MOODENG,USDT,3.0,4.0,1e-05
COMP,8,COMP-USDT,COMP,USDT,5.0,8.0,0.01
BTCUSD,8,BTCUSD_PERP,BTC,USD,125.0,8.0,0.1
ZROUSDT,8,ZROUSDT,ZRO,USDT,50.0,1.0,0.001
STXUSDT,8,STXUSDT,STX,USDT,50.0,1.0,0.0001
BERAUSDT,8,BERAUSDT,BERA,USDT,50.0,1.0,0.001
BIO,8,BIO-USDT,BIO,USDT,3.0,4.0,1e-05
SPXUSDT,8,SPXUSDT,SPX,USDT,25.0,1.0,0.0001
ZK,8,ZK-USDT,ZK,USDT,5.0,4.0,1e-05
BTCUSDT,8,BTCUSDT,BTC,USDT,100.0,1.0,0.1
CHZUSDT,8,CHZUSDT,CHZ,USDT,50.0,1.0,1e-05
SOMIUSDT,8,SOMIUSDT,SOMI,USDT,50.0,1.0,0.0001
CAKEUSDT,8,CAKEUSDT,CAKE,USDT,50.0,1.0,0.0001
TAOUSDT,8,TAOUSDT,TAO,USDT,50.0,1.0,0.01
ENS,8,ENS-USDT,ENS,USDT,5.0,8.0,0.001
CHIPUSDT,8,CHIPUSDT,CHIP,USDT,50.0,1.0,1e-05
ZENUSDT,8,ZENUSDT,ZEN,USDT,50.0,1.0,0.001
TIAUSDT,8,TIAUSDT,TIA,USDT,50.0,1.0,0.0001
XLMUSDT,8,XLMUSDT,XLM,USDT,50.0,1.0,1e-05
ENSUSDT,8,ENSUSDT,ENS,USDT,50.0,1.0,0.001
USELESSUSDT,8,USELESSUSDT,USELESS,USDT,25.0,1.0,0.0001
ONDOUSDT,8,ONDOUSDT,ONDO,USDT,50.0,1.0,0.0001
SUSDT,8,SUSDT,S,USDT,50.0,1.0,0.0001
KAITOUSDT,8,KAITOUSDT,KAITO,USDT,50.0,1.0,0.0001
KAS,8,KAS-USDT,KAS,USDT,3.0,4.0,1e-05
LDOUSDT,8,LDOUSDT,LDO,USDT,50.0,1.0,0.0001
LINEAUSDT,8,LINEAUSDT,LINEA,USDT,50.0,1.0,1e-05
LINKUSD,8,LINKUSD_PERP,LINK,USD,20.0,8.0,0.001
ETC,8,ETC-USDT,ETC,USDT,5.0,8.0,0.001
VVV,8,VVV-USDT,VVV,USDT,5.0,4.0,0.001
LITUSDT,8,LITUSDT,LIT,USDT,50.0,1.0,0.001
VIRTUALUSDT,8,VIRTUALUSDT,VIRTUAL,USDT,50.0,1.0,0.0001
MYXUSDT,8,MYXUSDT,MYX,USDT,50.0,1.0,0.0001
MET,8,MET-PERP,MET,USDC,3.0,1.0,1e-06
MNT,8,MNT-USDT,MNT,USDT,10.0,8.0,1e-05
IPUSDT,8,IPUSDT,IP,USDT,50.0,1.0,0.001
ORDI,8,ORDI-USDT,ORDI,USDT,3.0,4.0,0.001
INJUSDT,8,INJUSDT,INJ,USDT,50.0,1.0,0.001
PENDLEUSDT,8,PENDLEUSDT,PENDLE,USDT,50.0,1.0,0.0001
TRXUSDT,8,TRXUSDT,TRX,USDT,50.0,1.0,1e-05
PENGUUSDT,8,PENGUUSDT,PENGU,USDT,50.0,1.0,1e-06
PEOPLE,8,PEOPLE-USDT,PEOPLE,USDT,3.0,8.0,1e-05
HBARUSDT,8,HBARUSDT,HBAR,USDT,50.0,1.0,1e-05
